name,team,age,positions,position_group,roster_status,salary_2026_27,cap_hold,qualifying_offer,overall,impact,offense,defense,career_stage,trend,rating_source,data_confidence,career_status,nba_id
Joel Embiid,PHI,32,C,big,active,57985752,,,89,82,89,69,late_prime,gradual_decline,2026-27_current_ability_model_v0.29,1.0,nba_established,203954
Jaylen Brown,PHI,29,SG/SF,wing,active,57736350,,,89,87,90,71,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1627759
Tyrese Maxey,PHI,25,PG/SG,guard,active,40770520,,,90,89,92,79,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1630178
VJ Edgecombe,PHI,21,SG/SF,wing,active,11663880,,,78,77,79,73,development,rising_fast,2026-27_current_ability_model_v0.29,1.0,nba_established,1642845
Dean Wade,PHI,29,PF,wing,active,9000000,,,68,67,67,73,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1629731
Anfernee Simons,PHI,27,SG,guard,active,6000000,,,73,71,76,64,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1629014
LeBron James,PHI,41,PF/PG/SF/SG,wing,active,3876528,,,86,83,86,75,late_career,declining_fast,2026-27_current_ability_model_v0.29,1.0,nba_established,2544
Labaron Philon,PHI,20,PG,guard,active,3597120,,,74,73,77,65,development,rising_fast,projection_translation_model_v0.29_rebased,0.0,rookie_2026_projected,
Dominick Barlow,PHI,23,PF/C,big,active,3415000,,,70,69,69,72,approaching_prime,rising,2026-27_current_ability_model_v0.29,1.0,nba_established,1631230
Ariel Hukporti,PHI,24,C,big,active,3400000,,,63,62,62,71,approaching_prime,rising,2026-27_current_ability_model_v0.29,0.414,nba_established,1630574
Jabari Walker,PHI,24,PF,wing,active,2584539,,,66,64,64,74,approaching_prime,rising,2026-27_current_ability_model_v0.29,0.635,nba_established,1631133
Kentavious Caldwell-Pope,PHI,33,SG,guard,active,2449421,,,68,67,69,72,decline,declining,2026-27_current_ability_model_v0.29,0.905,nba_established,203484
Justin Edwards,PHI,22,SF/SG,wing,active,2411090,,,65,65,66,73,approaching_prime,rising,2026-27_current_ability_model_v0.29,0.816,nba_established,1642348
Adem Bona,PHI,23,PF/C,big,active,2296271,,,66,66,64,71,approaching_prime,rising,2026-27_current_ability_model_v0.29,1.0,nba_established,1641737
Karl-Anthony Towns,NYK,30,PF/C,big,active,57078728,,,84,83,83,71,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1626157
OG Anunoby,NYK,29,SF,wing,active,42500000,,,80,77,79,88,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1628384
Jalen Brunson,NYK,29,PG,guard,active,37739521,,,89,86,91,65,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1628973
Mikal Bridges,NYK,29,SG/SF,wing,active,33482145,,,77,77,79,74,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1628969
Josh Hart,NYK,31,SF/SG,wing,active,20923760,,,76,75,77,73,late_prime,gradual_decline,2026-27_current_ability_model_v0.29,1.0,nba_established,1628404
Landry Shamet,NYK,29,SG,guard,active,5490967,,,69,67,71,68,prime,stable_prime,2026-27_current_ability_model_v0.29,0.978,nba_established,1629013
Jose Alvarado,NYK,28,PG,guard,active,4439656,,,68,67,69,73,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1630631
Miles McBride,NYK,25,PG,guard,active,3956523,,,72,69,74,69,prime,stable_prime,2026-27_current_ability_model_v0.29,0.899,nba_established,1630540
Pacôme Dadiet,NYK,21,PF,wing,active,2983680,,,61,61,61,67,development,rising_fast,2026-27_current_ability_model_v0.29,0.114,low_sample_established,1642359
Mohamed Diawara,NYK,21,PF/SF,wing,active,2622139,,,63,62,63,68,development,rising_fast,2026-27_current_ability_model_v0.29,0.529,nba_established,1642885
Jordan Clarkson,NYK,34,PG/SG,guard,active,2449421,,,67,66,68,65,decline,declining,2026-27_current_ability_model_v0.29,1.0,nba_established,203903
Andre Drummond,NYK,33,C,big,active,2449421,,,70,69,66,74,decline,declining,2026-27_current_ability_model_v0.29,1.0,nba_established,203083
Tyler Kolek,NYK,25,PG,guard,active,2296271,,,64,64,66,71,prime,stable_prime,2026-27_current_ability_model_v0.29,0.604,nba_established,1642278
Scottie Barnes,TOR,25,SG/PF,wing,active,41754690,,,85,84,83,88,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1630567
Brandon Ingram,TOR,28,PF/SF,wing,active,40000000,,,82,81,83,71,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1627742
Immanuel Quickley,TOR,27,PG,guard,active,32500000,,,80,78,82,71,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1630193
RJ Barrett,TOR,26,SG,guard,active,29616071,,,80,77,82,71,prime,stable_prime,2026-27_current_ability_model_v0.29,1.0,nba_established,1629628
Jakob Poeltl,TOR,30,C,big,active,19500000,,,75,72,75,72,prime,stable_prime,2026-27_current_ability_model_v0.29,0.958,nba_established,1627751
Gradey Dick,TOR,22,SG/SF,wing,active,7131510,,,65,64,65,71,approaching_prime,rising,2026-27_current_ability_model_v0.29,0.887,nba_established,1641711
Collin Murray-Boyles,TOR,21,PF,wing,active,6649560,,,72,70,71,78,development,rising_fast,2026-27_current_ability_model_v0.29,1.0,nba_established,1642867
Allen Graves,TOR,20,PF,wing,active,4065720,,,70,66,71,75,development,rising_fast,projection_translation_model_v0.29_rebased,0.0,rookie_2026_projected,
Ja'Kobe Walter,TOR,21,SG,guard,active,3811800,,,68,67,69,74,development,rising_fast,2026-27_current_ability_model_v0.29,1.0,nba_established,1642266
Andre Jackson Jr.,TOR,24,SG/PG/SF,wing,active,2449421,,,62,61,61,73,approaching_prime,rising,2026-27_current_ability_model_v0.29,0.34,nba_established,1641748
Kyle Anderson,TOR,32,SF/PF,wing,active,2449421,,,69,67,69,78,decline,declining,2026-27_current_ability_model_v0.29,0.71,nba_established,203937
Trayce Jackson-Davis,TOR,26,PF/C,big,active,2406205,,,64,63,63,73,prime,stable_prime,2026-27_current_ability_model_v0.29,0.415,nba_established,1631218
