Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Cade Cunningham,24,PG,61,61,34.4,8.7,18.9,0.461,2,5.8,0.346,6.7,13.1,0.513,0.515,5.1,6.2,0.814,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,24.5,AS
2,Jalen Duren,22,C,68,68,28.3,7.4,11.5,0.646,0,0,NA,7.4,11.5,0.646,0.646,4.6,6.2,0.745,3.8,6.8,10.6,1.9,0.8,0.9,1.9,2.8,19.5,AS
3,Tobias Harris,33,PF,60,60,27.9,4.9,10.6,0.464,1.3,3.6,0.349,3.7,7,0.523,0.523,2.2,2.5,0.873,0.8,4.3,5.1,2.6,0.9,0.4,1,1.7,13.2,
4,Duncan Robinson,31,SF,74,74,27.6,4.1,9,0.448,2.9,7,0.408,1.2,2,0.587,0.607,1.1,1.4,0.76,0.4,2.3,2.7,2.1,0.6,0.3,0.7,2.2,12,
5,Ausar Thompson,23,SF,70,69,26.1,4.2,8,0.521,0.1,0.3,0.261,4.1,7.7,0.532,0.526,1.5,2.6,0.565,2.1,3.7,5.8,3.1,2,0.9,1.5,2.7,9.9,
6,Isaiah Stewart,24,C,55,13,23.1,3.8,7,0.541,0.7,2.1,0.333,3.1,4.9,0.632,0.592,1.7,2.3,0.76,1.7,3.4,5.1,1.2,0.3,1.6,1.1,2.8,10,
7,Kevin Huerter,27,SG,23,3,20.7,3.4,7.7,0.441,1.1,4,0.283,2.3,3.7,0.612,0.514,0.5,0.6,0.923,0.5,2.4,2.9,2.4,1,0.3,1,1.3,8.4,
8,Daniss Jenkins,24,PG,69,19,20.3,3.3,7.9,0.418,1,2.7,0.383,2.3,5.2,0.436,0.484,1.8,2.2,0.824,0.7,1.5,2.2,3.8,0.9,0.2,1.6,1.5,9.5,
9,Ron Holland,20,SF,75,5,19.8,3,6.9,0.43,0.6,2.5,0.232,2.4,4.5,0.539,0.471,1.6,1.9,0.801,1.1,2.9,4,1.2,1.2,0.3,1.2,2.3,8.1,
10,Caris LeVert,31,SG,57,0,19.4,2.8,6.6,0.419,1,3.1,0.33,1.8,3.5,0.498,0.496,0.9,1.3,0.658,0.4,1.6,2,2.7,0.8,0.7,1.4,1.6,7.4,
11,Javonte Green,32,SG,79,6,17.8,2.3,5.1,0.443,1.1,3.1,0.373,1.1,2.1,0.545,0.554,1.3,1.5,0.832,0.7,2,2.8,0.7,1.3,0.3,0.6,1.4,6.9,
