team	name	age	positions	roster_status	contract	expiry
PHI	Joel Embiid	32	C	active	2026:57985752;2027:62624612;2028:P67263473	UFA
PHI	Jaylen Brown	29	SG,SF	active	2026:57736350;2027:61672814;2028:65609278	UFA
PHI	Tyrese Maxey	25	PG,SG	active	2026:40770520;2027:43582280;2028:46394040	UFA
PHI	VJ Edgecombe	21	SG,SF	active	2026:11663880;2027:T12219840;2028:T15445878	RFA
PHI	Dean Wade	29	PF	active	2026:9000000;2027:9450000;2028:9900000;2029:10350000	UFA
PHI	Anfernee Simons	27	SG	active	2026:6000000;2027:P6300000	UFA
PHI	LeBron James	41	PF,PG,SF,SG	active	2026:3876528;2027:P4070355	UFA
PHI	Labaron Philon	20	PG	active	2026:3597120;2027:3776760;2028:T3956760;2029:T6508870	RFA
PHI	Dominick Barlow	23	PF,C	active	2026:T3415000	UFA
PHI	Ariel Hukporti	24	C	active	2026:3400000	RFA
PHI	Jabari Walker	24	PF	active	2026:2584539	UFA
PHI	Kentavious Caldwell-Pope	33	SG	active	2026:2449421	UFA
PHI	Justin Edwards	22	SF,SG	active	2026:2411090;2027:T2616754	UFA
PHI	Adem Bona	23	PF,C	active	2026:2296271;2027:T2486995	RFA
NYK	Karl-Anthony Towns	30	PF,C	active	2026:57078728;2027:P61015192	UFA
NYK	OG Anunoby	29	SF	active	2026:42500000;2027:45431034;2028:P48362068	UFA
NYK	Jalen Brunson	29	PG	active	2026:37739521;2027:40535041;2028:P43330561	UFA
NYK	Mikal Bridges	29	SG,SF	active	2026:33482145;2027:36160714;2028:38839285;2029:P41517856	UFA
NYK	Josh Hart	31	SF,SG	active	2026:20923760;2027:T22375280	UFA
NYK	Landry Shamet	29	SG	active	2026:5490967;2027:5737500;2028:6162500;2029:P6587500	UFA
NYK	Jose Alvarado	28	PG	active	2026:4439656;2027:4794828;2028:5150000	UFA
NYK	Miles McBride	25	PG	active	2026:3956523	UFA
NYK	Pacôme Dadiet	21	PF	active	2026:T2983680;2027:T5373608	RFA
NYK	Mohamed Diawara	21	PF,SF	active	2026:2622139;2027:2753246;2028:2884353;2029:T3019000	UFA
